,precision,recall,f1-score,support
pop,0.24634361233480176,1.0,0.3953060935953627,1398.0
micro avg,0.24634361233480176,1.0,0.3953060935953627,1398.0
macro avg,0.24634361233480176,1.0,0.3953060935953627,1398.0
weighted avg,0.24634361233480176,1.0,0.3953060935953627,1398.0
