,precision,recall,f1-score,support
hip hop,0.9777777777777777,0.2222222222222222,0.3621399176954732,198.0
pop,0.251959686450168,0.9656652360515021,0.39964476021314393,1398.0
reggae,0.7631578947368421,0.05631067961165048,0.10488245931283904,515.0
rock,0.4829059829059829,0.1441326530612245,0.2220039292730845,784.0
micro avg,0.27066079295154183,0.5305699481865285,0.35845974329054836,2895.0
macro avg,0.6189503354676927,0.3470826977366498,0.2721677666236352,2895.0
weighted avg,0.4550826418117786,0.5305699481865285,0.29653631280756104,2895.0
